round,mean_R,spearman_R_acc
1,1.0,0.0
2,1.0,0.0
3,0.9993664622306824,-0.2586466073989868
4,0.9981904029846191,-0.3654135465621948
5,0.9972869157791138,-0.5007518529891968
6,0.9939495921134949,-0.42556390166282654
7,0.9919697046279907,-0.043609023094177246
8,0.9933107495307922,0.24060150980949402
9,0.9962011575698853,0.2120300680398941
10,0.9915248155593872,0.19699248671531677
11,0.9942417144775391,0.015037594363093376
12,0.9918492436408997,0.031578946858644485
13,0.9903808832168579,0.1894736886024475
14,0.9920855760574341,0.03609022498130798
15,0.9954148530960083,-0.019548872485756874
16,0.9905670285224915,-0.3308270573616028
17,0.9899144172668457,-0.37593984603881836
18,0.9920521974563599,-0.08872180432081223
19,0.9947805404663086,-0.024060150608420372
20,0.9946373105049133,-0.031578946858644485
21,0.9912189245223999,-0.08872180432081223
22,0.9886540174484253,-0.12781955301761627
23,0.9894380569458008,-0.1518796980381012
24,0.9898784756660461,-0.17142857611179352
25,0.990998387336731,-0.2586466073989868
26,0.9895139932632446,-0.09022556245326996
27,0.9877052307128906,-0.2526315748691559
28,0.9840413928031921,-0.16240601241588593
29,0.9909458160400391,-0.14887218177318573
30,0.9902669787406921,-0.17142857611179352
